Class,ICD9,ICD10
Atrial Fibrillation,"""427.3""","""I48"""
Atrial Fibrillation,"""427.31""",
Atrial Fibrillation,"""427.32""",
Atrial Fibrillation,,"""I48.0"""
Atrial Fibrillation,,"""I48.1"""
Atrial Fibrillation,,"""I48.11"""
Atrial Fibrillation,,"""I48.19"""
Atrial Fibrillation,,"""I48.2"""
Atrial Fibrillation,,"""I48.20"""
Atrial Fibrillation,,"""I48.21"""
Atrial Fibrillation,,"""I48.3"""
Atrial Fibrillation,,"""I48.4"""
Atrial Fibrillation,,"""I48.9"""
Atrial Fibrillation,,"""I48.91"""
Atrial Fibrillation,,"""I48.92"""
