Class,ICD9,ICD10
CAD,"""410""",
CAD,"""410.0""",
CAD,"""410.00""",
CAD,"""410.01""",
CAD,"""410.02""",
CAD,"""410.1""",
CAD,"""410.10""",
CAD,"""410.11""",
CAD,"""410.12""",
CAD,"""410.2""",
CAD,"""410.20""",
CAD,"""410.21""",
CAD,"""410.22""",
CAD,"""410.3""",
CAD,"""410.30""",
CAD,"""410.31""",
CAD,"""410.32""",
CAD,"""410.4""",
CAD,"""410.40""",
CAD,"""410.41""",
CAD,"""410.42""",
CAD,"""410.5""",
CAD,"""410.50""",
CAD,"""410.51""",
CAD,"""410.52""",
CAD,"""410.6""",
CAD,"""410.60""",
CAD,"""410.61""",
CAD,"""410.62""",
CAD,"""410.7""",
CAD,"""410.70""",
CAD,"""410.71""",
CAD,"""410.72""",
CAD,"""410.8""",
CAD,"""410.80""",
CAD,"""410.81""",
CAD,"""410.82""",
CAD,"""410.9""",
CAD,"""410.90""",
CAD,"""410.91""",
CAD,"""410.92""",
CAD,"""411""",
CAD,"""411.0""",
CAD,"""411.1""",
CAD,"""411.8""",
CAD,"""411.81""",
CAD,"""411.89""",
CAD,"""412""","""I25.2"""
CAD,"""413""","""I20"""
CAD,"""413.0""",
CAD,"""413.1""",
CAD,"""413.9""",
CAD,"""414.0""",
CAD,"""414.00""",
CAD,"""414.01""",
CAD,"""414.02""",
CAD,"""414.03""",
CAD,"""414.04""",
CAD,"""414.05""",
CAD,"""414.06""",
CAD,"""414.07""",
CAD,"""414.3""",
CAD,"""414.4""",
CAD,"""414.8""",
CAD,"""414.9""",
CAD,"""429.7""",
CAD,"""429.71""",
CAD,"""429.79""",
CAD,"""V45.81""",
CAD,"""V45.82""",
CAD,"""36""",
CAD,"""36.0""",
CAD,"""36.03""",
CAD,"""36.04""",
CAD,"""36.06""",
CAD,"""36.07""",
CAD,"""36.09""",
CAD,"""36.1""",
CAD,"""36.10""",
CAD,"""36.11""",
CAD,"""36.12""",
CAD,"""36.13""",
CAD,"""36.14""",
CAD,"""36.15""",
CAD,"""36.16""",
CAD,"""36.17""",
CAD,"""36.19""",
CAD,"""36.2""",
CAD,"""36.3""",
CAD,"""36.31""",
CAD,"""36.32""",
CAD,"""36.33""",
CAD,"""36.34""",
CAD,"""36.39""",
CAD,,"""I20.0"""
CAD,,"""I20.1"""
CAD,,"""I20.2"""
CAD,,"""I20.8"""
CAD,,"""I20.9"""
CAD,,"""I21"""
CAD,,"""I21.0"""
CAD,,"""I21.01"""
CAD,,"""I21.02"""
CAD,,"""I21.09"""
CAD,,"""I21.1"""
CAD,,"""I21.11"""
CAD,,"""I21.19"""
CAD,,"""I21.2"""
CAD,,"""I21.21"""
CAD,,"""I21.29"""
CAD,,"""I21.3"""
CAD,,"""I21.4"""
CAD,,"""I21.9"""
CAD,,"""I21.A"""
CAD,,"""I21.A1"""
CAD,,"""I21.A9"""
CAD,,"""I22"""
CAD,,"""I22.0"""
CAD,,"""I22.1"""
CAD,,"""I22.2"""
CAD,,"""I22.8"""
CAD,,"""I22.9"""
CAD,,"""I23"""
CAD,,"""I23.0"""
CAD,,"""I23.1"""
CAD,,"""I23.2"""
CAD,,"""I23.3"""
CAD,,"""I23.4"""
CAD,,"""I23.5"""
CAD,,"""I23.6"""
CAD,,"""I23.7"""
CAD,,"""I23.8"""
CAD,,"""I24"""
CAD,,"""I24.0"""
CAD,,"""I24.1"""
CAD,,"""I24.8"""
CAD,,"""I24.9"""
CAD,,"""I25"""
CAD,,"""I25.1"""
CAD,,"""I25.10"""
CAD,,"""I25.11"""
CAD,,"""I25.110"""
CAD,,"""I25.111"""
CAD,,"""I25.112"""
CAD,,"""I25.118"""
CAD,,"""I25.119"""
CAD,,"""I25.5"""
CAD,,"""I25.6"""
CAD,,"""I25.7"""
CAD,,"""I25.70"""
CAD,,"""I25.700"""
CAD,,"""I25.701"""
CAD,,"""I25.702"""
CAD,,"""I25.708"""
CAD,,"""I25.709"""
CAD,,"""I25.71"""
CAD,,"""I25.710"""
CAD,,"""I25.711"""
CAD,,"""I25.712"""
CAD,,"""I25.718"""
CAD,,"""I25.719"""
CAD,,"""I25.72"""
CAD,,"""I25.720"""
CAD,,"""I25.721"""
CAD,,"""I25.722"""
CAD,,"""I25.728"""
CAD,,"""I25.729"""
CAD,,"""I25.73"""
CAD,,"""I25.730"""
CAD,,"""I25.731"""
CAD,,"""I25.732"""
CAD,,"""I25.738"""
CAD,,"""I25.739"""
CAD,,"""I25.75"""
CAD,,"""I25.750"""
CAD,,"""I25.751"""
CAD,,"""I25.752"""
CAD,,"""I25.758"""
CAD,,"""I25.759"""
CAD,,"""I25.76"""
CAD,,"""I25.760"""
CAD,,"""I25.761"""
CAD,,"""I25.762"""
CAD,,"""I25.768"""
CAD,,"""I25.769"""
CAD,,"""I25.79"""
CAD,,"""I25.790"""
CAD,,"""I25.791"""
CAD,,"""I25.792"""
CAD,,"""I25.798"""
CAD,,"""I25.799"""
CAD,,"""I25.8"""
CAD,,"""I25.81"""
CAD,,"""I25.810"""
CAD,,"""I25.811"""
CAD,,"""I25.812"""
CAD,,"""I25.82"""
CAD,,"""I25.83"""
CAD,,"""I25.84"""
CAD,,"""I25.89"""
CAD,,"""I25.9"""
CAD,,"""I51.0"""
CAD,,"""Z95.1"""
CAD,,"""Z95.5"""
CAD,,"""Z98.61"""
