Class,ICD9,ICD10
Heart Failure,"""402.01""",
Heart Failure,"""402.11""",
Heart Failure,"""402.91""",
Heart Failure,"""404.01""",
Heart Failure,"""404.03""",
Heart Failure,"""404.11""",
Heart Failure,"""404.13""",
Heart Failure,"""404.91""",
Heart Failure,"""404.93""",
Heart Failure,,"""I11.0"""
Heart Failure,,"""I13.0"""
Heart Failure,,"""I13.2"""
Heart Failure,,"""R57.0"""
Heart Failure,,"""I50.1"""
Heart Failure,"""428""","""I50"""
Heart Failure,"""428.0""",
Heart Failure,"""428.1""",
Heart Failure,"""428.2""","""I50.2"""
Heart Failure,"""428.20""","""I50.20"""
Heart Failure,"""428.21""","""I50.21"""
Heart Failure,"""428.22""","""I50.22"""
Heart Failure,"""428.23""","""I50.23"""
Heart Failure,"""428.3""","""I50.3"""
Heart Failure,"""428.30""","""I50.30"""
Heart Failure,"""428.31""","""I50.31"""
Heart Failure,"""428.32""","""I50.32"""
Heart Failure,"""428.33""","""I50.33"""
Heart Failure,"""428.4""","""I50.4"""
Heart Failure,"""428.40""","""I50.40"""
Heart Failure,"""428.41""","""I50.41"""
Heart Failure,"""428.42""","""I50.42"""
Heart Failure,"""428.43""","""I50.43"""
Heart Failure,"""428.9""","""I50.9"""
Heart Failure,,"""I50.8"""
Heart Failure,,"""I50.81"""
Heart Failure,,"""I50.810"""
Heart Failure,,"""I50.811"""
Heart Failure,,"""I50.812"""
Heart Failure,,"""I50.813"""
Heart Failure,,"""I50.814"""
Heart Failure,,"""I50.82"""
Heart Failure,,"""I50.83"""
Heart Failure,,"""I50.84"""
Heart Failure,,"""I50.89"""
