Class,ICD9,ICD10
Hypertension,"""362.11""","""H35.03"""
Hypertension,,"""H35.031"""
Hypertension,,"""H35.032"""
Hypertension,,"""H35.033"""
Hypertension,,"""H35.039"""
Hypertension,"""437.2""","""I67.4"""
Hypertension,"""401""","""I10"""
Hypertension,"""401.0""",
Hypertension,"""401.1""",
Hypertension,"""401.9""",
Hypertension,"""402""","""I11"""
Hypertension,"""402.0""",
Hypertension,"""402.00""",
Hypertension,"""402.01""",
Hypertension,"""402.1""",
Hypertension,"""402.10""",
Hypertension,"""402.11""",
Hypertension,"""402.9""",
Hypertension,"""402.90""",
Hypertension,"""402.91""",
Hypertension,"""403""","""I12"""
Hypertension,"""403.0""",
Hypertension,"""403.00""",
Hypertension,"""403.01""",
Hypertension,"""403.1""",
Hypertension,"""403.10""",
Hypertension,"""403.11""",
Hypertension,"""403.9""",
Hypertension,"""403.90""",
Hypertension,"""403.91""",
Hypertension,"""404""","""I13"""
Hypertension,"""404.0""",
Hypertension,"""404.00""",
Hypertension,"""404.01""",
Hypertension,"""404.02""",
Hypertension,"""404.03""",
Hypertension,"""404.1""",
Hypertension,"""404.10""",
Hypertension,"""404.11""",
Hypertension,"""404.12""",
Hypertension,"""404.13""",
Hypertension,"""404.9""",
Hypertension,"""404.90""",
Hypertension,"""404.91""",
Hypertension,"""404.92""",
Hypertension,"""404.93""",
Hypertension,,"""I11.0"""
Hypertension,,"""I11.9"""
Hypertension,,"""I12.0"""
Hypertension,,"""I12.9"""
Hypertension,,"""I13.0"""
Hypertension,,"""I13.1"""
Hypertension,,"""I13.10"""
Hypertension,,"""I13.11"""
Hypertension,,"""I13.2"""
Hypertension,,"""I16.0"""
Hypertension,,"""I16.1"""
Hypertension,,"""I16.9"""
