,Class,ICD9,ICD10
0,Stroke Narrow,"""433""",
1,Stroke Narrow,"""433.0""",
2,Stroke Narrow,"""433.00""",
3,Stroke Narrow,"""433.01""",
4,Stroke Narrow,"""433.1""",
5,Stroke Narrow,"""433.10""",
6,Stroke Narrow,"""433.11""",
7,Stroke Narrow,"""433.2""",
8,Stroke Narrow,"""433.20""",
9,Stroke Narrow,"""433.21""",
10,Stroke Narrow,"""433.3""",
11,Stroke Narrow,"""433.30""",
12,Stroke Narrow,"""433.31""",
13,Stroke Narrow,"""433.8""",
14,Stroke Narrow,"""433.80""",
15,Stroke Narrow,"""433.81""",
16,Stroke Narrow,"""433.9""",
17,Stroke Narrow,"""433.90""",
18,Stroke Narrow,"""433.91""",
19,Stroke Narrow,"""434""",
20,Stroke Narrow,"""434.0""",
21,Stroke Narrow,"""434.00""",
22,Stroke Narrow,"""434.01""",
23,Stroke Narrow,"""434.1""",
24,Stroke Narrow,"""434.10""",
25,Stroke Narrow,"""434.11""",
26,Stroke Narrow,"""434.9""",
27,Stroke Narrow,"""434.90""",
28,Stroke Narrow,"""434.91""",
29,Stroke Narrow,"""435""",
30,Stroke Narrow,"""435.0""",
31,Stroke Narrow,"""435.1""",
32,Stroke Narrow,"""435.2""",
33,Stroke Narrow,"""435.3""","""G45.0"""
34,Stroke Narrow,"""435.8""",
35,Stroke Narrow,"""435.9""",
36,Stroke Narrow,"""436""",
37,Stroke Narrow,"""437.0""","""I67.2"""
38,Stroke Narrow,"""437.1""",
39,Stroke Narrow,"""V12.54""",
40,Stroke Narrow,,"""I63"""
41,Stroke Narrow,,"""I63.0"""
42,Stroke Narrow,,"""I63.00"""
43,Stroke Narrow,,"""I63.01"""
44,Stroke Narrow,,"""I63.011"""
45,Stroke Narrow,,"""I63.012"""
46,Stroke Narrow,,"""I63.013"""
47,Stroke Narrow,,"""I63.019"""
48,Stroke Narrow,,"""I63.02"""
49,Stroke Narrow,,"""I63.03"""
50,Stroke Narrow,,"""I63.031"""
51,Stroke Narrow,,"""I63.032"""
52,Stroke Narrow,,"""I63.033"""
53,Stroke Narrow,,"""I63.039"""
54,Stroke Narrow,,"""I63.09"""
55,Stroke Narrow,,"""I63.1"""
56,Stroke Narrow,,"""I63.10"""
57,Stroke Narrow,,"""I63.11"""
58,Stroke Narrow,,"""I63.111"""
59,Stroke Narrow,,"""I63.112"""
60,Stroke Narrow,,"""I63.113"""
61,Stroke Narrow,,"""I63.119"""
62,Stroke Narrow,,"""I63.12"""
63,Stroke Narrow,,"""I63.13"""
64,Stroke Narrow,,"""I63.131"""
65,Stroke Narrow,,"""I63.132"""
66,Stroke Narrow,,"""I63.133"""
67,Stroke Narrow,,"""I63.139"""
68,Stroke Narrow,,"""I63.19"""
69,Stroke Narrow,,"""I63.2"""
70,Stroke Narrow,,"""I63.20"""
71,Stroke Narrow,,"""I63.21"""
72,Stroke Narrow,,"""I63.211"""
73,Stroke Narrow,,"""I63.212"""
74,Stroke Narrow,,"""I63.213"""
75,Stroke Narrow,,"""I63.219"""
