,Class,ICD9,ICD10
0,T2DM,"""250""",
1,T2DM,"""250.0""",
2,T2DM,"""250.00""",
3,T2DM,"""250.02""",
4,T2DM,"""250.1""",
5,T2DM,"""250.10""",
6,T2DM,"""250.12""",
7,T2DM,"""250.2""",
8,T2DM,"""250.20""",
9,T2DM,"""250.22""",
10,T2DM,"""250.3""",
11,T2DM,"""250.30""",
12,T2DM,"""250.32""",
13,T2DM,"""250.4""",
14,T2DM,"""250.40""",
15,T2DM,"""250.42""",
16,T2DM,"""250.5""",
17,T2DM,"""250.50""",
18,T2DM,"""250.52""",
19,T2DM,"""250.6""",
20,T2DM,"""250.60""",
21,T2DM,"""250.62""",
22,T2DM,"""250.7""",
23,T2DM,"""250.70""",
24,T2DM,"""250.72""",
25,T2DM,"""250.8""",
26,T2DM,"""250.80""",
27,T2DM,"""250.82""",
28,T2DM,"""250.9""",
29,T2DM,"""250.90""",
30,T2DM,"""250.92""",
31,T2DM,"""357.2""",
32,T2DM,"""362.0""",
33,T2DM,"""362.01""",
34,T2DM,"""362.02""",
35,T2DM,"""362.03""",
36,T2DM,"""362.04""",
37,T2DM,"""362.05""",
38,T2DM,"""362.06""",
39,T2DM,"""362.07""",
40,T2DM,"""366.41""",
41,T2DM,,"""E11"""
42,T2DM,,"""E11.0"""
43,T2DM,,"""E11.00"""
44,T2DM,,"""E11.01"""
45,T2DM,,"""E11.1"""
46,T2DM,,"""E11.10"""
47,T2DM,,"""E11.11"""
48,T2DM,,"""E11.2"""
49,T2DM,,"""E11.21"""
50,T2DM,,"""E11.22"""
51,T2DM,,"""E11.29"""
52,T2DM,,"""E11.3"""
53,T2DM,,"""E11.31"""
54,T2DM,,"""E11.311"""
55,T2DM,,"""E11.319"""
56,T2DM,,"""E11.32"""
57,T2DM,,"""E11.321"""
58,T2DM,,"""E11.3211"""
59,T2DM,,"""E11.3212"""
60,T2DM,,"""E11.3213"""
61,T2DM,,"""E11.3219"""
62,T2DM,,"""E11.329"""
63,T2DM,,"""E11.3291"""
64,T2DM,,"""E11.3292"""
65,T2DM,,"""E11.3293"""
66,T2DM,,"""E11.3299"""
67,T2DM,,"""E11.33"""
68,T2DM,,"""E11.331"""
69,T2DM,,"""E11.3311"""
70,T2DM,,"""E11.3312"""
71,T2DM,,"""E11.3313"""
72,T2DM,,"""E11.3319"""
73,T2DM,,"""E11.339"""
74,T2DM,,"""E11.3391"""
75,T2DM,,"""E11.3392"""
76,T2DM,,"""E11.3393"""
77,T2DM,,"""E11.3399"""
78,T2DM,,"""E11.34"""
79,T2DM,,"""E11.341"""
80,T2DM,,"""E11.3411"""
81,T2DM,,"""E11.3412"""
82,T2DM,,"""E11.3413"""
83,T2DM,,"""E11.3419"""
84,T2DM,,"""E11.349"""
85,T2DM,,"""E11.3491"""
86,T2DM,,"""E11.3492"""
87,T2DM,,"""E11.3493"""
88,T2DM,,"""E11.3499"""
89,T2DM,,"""E11.35"""
90,T2DM,,"""E11.351"""
91,T2DM,,"""E11.3511"""
92,T2DM,,"""E11.3512"""
93,T2DM,,"""E11.3513"""
94,T2DM,,"""E11.3519"""
95,T2DM,,"""E11.352"""
96,T2DM,,"""E11.3521"""
97,T2DM,,"""E11.3522"""
98,T2DM,,"""E11.3523"""
99,T2DM,,"""E11.3529"""
100,T2DM,,"""E11.353"""
101,T2DM,,"""E11.3531"""
102,T2DM,,"""E11.3532"""
103,T2DM,,"""E11.3533"""
104,T2DM,,"""E11.3539"""
105,T2DM,,"""E11.354"""
106,T2DM,,"""E11.3541"""
107,T2DM,,"""E11.3542"""
108,T2DM,,"""E11.3543"""
109,T2DM,,"""E11.3549"""
110,T2DM,,"""E11.355"""
111,T2DM,,"""E11.3551"""
112,T2DM,,"""E11.3552"""
113,T2DM,,"""E11.3553"""
114,T2DM,,"""E11.3559"""
115,T2DM,,"""E11.359"""
116,T2DM,,"""E11.3591"""
117,T2DM,,"""E11.3592"""
118,T2DM,,"""E11.3593"""
119,T2DM,,"""E11.3599"""
120,T2DM,,"""E11.36"""
121,T2DM,,"""E11.37"""
122,T2DM,,"""E11.37X1"""
123,T2DM,,"""E11.37X2"""
124,T2DM,,"""E11.37X3"""
125,T2DM,,"""E11.37X9"""
126,T2DM,,"""E11.39"""
127,T2DM,,"""E11.4"""
128,T2DM,,"""E11.40"""
129,T2DM,,"""E11.41"""
130,T2DM,,"""E11.42"""
131,T2DM,,"""E11.43"""
132,T2DM,,"""E11.44"""
133,T2DM,,"""E11.49"""
134,T2DM,,"""E11.5"""
135,T2DM,,"""E11.51"""
136,T2DM,,"""E11.52"""
137,T2DM,,"""E11.59"""
138,T2DM,,"""E11.6"""
139,T2DM,,"""E11.61"""
140,T2DM,,"""E11.610"""
141,T2DM,,"""E11.618"""
142,T2DM,,"""E11.62"""
143,T2DM,,"""E11.620"""
144,T2DM,,"""E11.621"""
145,T2DM,,"""E11.622"""
146,T2DM,,"""E11.628"""
147,T2DM,,"""E11.63"""
148,T2DM,,"""E11.630"""
149,T2DM,,"""E11.638"""
150,T2DM,,"""E11.64"""
151,T2DM,,"""E11.641"""
152,T2DM,,"""E11.649"""
153,T2DM,,"""E11.65"""
154,T2DM,,"""E11.69"""
155,T2DM,,"""E11.8"""
156,T2DM,,"""E11.9"""
